18:11:05 CM101M    AZ390 MNOTE 8,'GEN_PROC_END WS LENGTH ERROR = 10'
18:11:05 CM101M    AZ390 AZ390I FID= 33 ERR=   1 w:\work\z390\zcobol\CD.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 43 ERR=  40 w:\work\z390\zcobol\MOVE.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 49 ERR=  23 w:\work\z390\zcobol\z390\GEN_MOVE.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 52 ERR=   6 w:\work\z390\zcobol\ENABLE.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 56 ERR=   3 w:\work\z390\zcobol\RECEIVE.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 60 ERR=   4 w:\work\z390\zcobol\z390\GEN_ACCEPT.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 61 ERR=  15 w:\work\z390\zcobol\IF.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 63 ERR=   1 w:\work\z390\zcobol\z390\GEN_DISPLAY.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 69 ERR=   4 w:\work\z390\zcobol\DISABLE.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 71 ERR=   1 w:\work\z390\zcobol\ZC_CALC.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 89 ERR=   1 w:\work\z390\zcobol\z390\GEN_PROC_END.MAC
18:11:05 CM101M    AZ390 AZ390I FID= 91 ERR=   1 w:\work\z390\zcobol\z390\GEN_WS.MAC
18:11:06 CM101M    MZ390 ENDED   RC=16 SEC= 4 MEM(MB)= 88 IO=68021
18:11:06 CM102M    ZC390 START USING z390 V1.5.00e ON J2SE 1.6.0_13 06/25/09
18:11:06 CM102M    ZC390 ENDED   RC= 0 SEC= 0 MEM(MB)= 14 IO=2
18:11:06 CM102M    MZ390 START USING z390 V1.5.00e ON J2SE 1.6.0_13 06/25/09
18:11:12 CM102M    AZ390 MNOTE 8,'CD NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MSG_LENGTH'
18:11:12 CM102M    AZ390 MNOTE 8,'SEND NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'SEND NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MSG_LENGTH'
18:11:12 CM102M    AZ390 MNOTE 8,'SEND NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MSG_LENGTH'
18:11:12 CM102M    AZ390 MNOTE 8,'SEND NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:12 CM102M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - ERR_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - SYM_DEST'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:12 CM102M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - ONE'
18:11:12 CM102M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
